22976443*** 911  .7201    21885211 3   2     321      19 1 44324622432462111111222     1299  12   142                           1 32  431533338019
22976543*** 911  .7344    11885222 4   1     113      14 1 14324622432462111111212     1121  11   342                           1 11  231311137138
22976643*** 911 3.8284    11555233 3   1     312      14 1 13223421322342111221112     1121  21   242                           1 21  331311138305
22976743*** 911  .9505    21444231 2   1     314      29 2 22212411221242122221221     1199  21   432                           1 43  131555337303
22976843*** 911  .0335    218853 1 1   1     311      39 1 24324622432463111   221     2399   1   142                           1 32  431533338019
22976943*** 911  .4711    218842 2 3         911      23 1 24324622432462122   212     1 21       142                           1 21  131311137421
22977043*** 911  .7281    21884422 3   1     211      15 1 24324622432463122111212     1122  11   142                           1 53  431655438260
22977143*** 911 1.6603    21664242 9   1     314      24 1 23223521322352122322219     1121  21   442                           1 43  131555337876
22977243*** 911  .7344    118852 4 4   1     112      14 1 14324622432462111   112     1121  21   242                           1 11  231311137013
22977343*** 911 1.8064    21665241 4   1     313      35 1 23223521322352111322222     2322  21   332                           1 32  131322337643
22977443*** 911  .4801    218854 1 3   2     321      13 3 44324622432463111   222     1221   2   132                           1 53  431555438063
22977543*** 911  .7281    11885222 4   2     214      54 3 14324622432462111111212     3421  12   442                           1 21  131311237604
22977643*** 911  .7214    218852 2 9   1     129      19 1 44324622432462111   219     1199   1   932                           1 32  131333337771
22977743*** 911  .8481    11885354 4   1     411      15 1 14324622432463111322112     1122  21   142                           1 32  231344137064
22977843*** 911  .8473    22663232 2   2     311      44 2 23223521322352233221211     3421  22   121                           1 53  331655438374
22977943*** 911  .5134    21885234 4   1     113      14 2 24324622432462111221112     1121  21   332                           1 53  331655438574
22978043*** 911 3.3854    11335333 4   1     412      24 1 12212311221233111221112     1121  21   242                           1 53  131655437852
22978143*** 911 1.2844    216633 4 3   1     213      39 2 23223521322353233   112     2399  21   332                           1 21  331311138305
22978243*** 911  .4313    218843 3 4   1     214      14 1 24324622432463122   112     1121  21   442                           1 32  231334237066
22978343*** 911  .6633    2188 2 1 2   1     121      22 9 44324622432462      221     1111   1   142                           1 53  131555337354
22978443*** 911  .8501    218853 1 9   1     919      35 9 24324622432463111   229     2322   1   942                           1 32  231534337172
22978543*** 911 1.1813    11885451 4   1     324      24 1 34324622432463111322222     1121  21   442                           1 32  131334137803
22978643*** 911  .6894    218852 1 4   1     323      23 1 44324622432462111   222     1121   1   332                           1 53  331555237174
22978743*** 911  .7514    21885222 3   1     313      23 1 24324622432462111111212     1121  11   332                           1 53  331555237174
22978843*** 911 1.1375    21114111 3   1     424      25 3 41111111111111122111222     1122  11   411                           1 32  131643237738
22978943*** 911 2.1163    21335211 2   1     221      22 1 42212311221232111111221     1111  11   132                           1 43  131355237660
22979043*** 911 1.5644    2 664222 4   1     113      15 1 23223521322352122111212     1122       342                           1 43  131555338555
22979143*** 911 2.0214    11554243 2   1     213      34 2 13223421322342122322111     2321  21   342                           1 32  131342237938
22979243*** 911  .5283    21883244 3   1     314      35 1 24324622432462233322112     2322  21   432                           1 21  231311137129
22979343*** 911 1.2964    21444443 3   1     313      24 3 22212411221243122322112     1121  21   332                           1 21  231311137129
22979443*** 911  .9681    11885331 2   1     211      15 2 14324622432463111221221     1122  21   142                           1 21  131311137421
22979543*** 911 1.7774    11664244 9   1     411      25 1 13223521322352122322119     1122  21   132                           1 43  331455338501
22979643*** 911 1.2064    218852 2 4   1     111      13 1 24324622432462111   212     1121   1   142                           1 32  131332237617
22979743*** 911  .5931    21885233 2   1     311      15 1 24324622432462111221111     1122  21   142                           1 32  131342137934
22979843*** 911  .4461    21884311 4   1     324      34 1 44324622432463122111222     2321  11   432                           1 43  131555338555
22979943*** 911 1.6893    11774231 4   1     214      59 1 13324521332452122221222     3399  21   432                           1 21  131311337914
22980043*** 911  .8123    21883211 4   1     311      54 1 24324622432462233111222     3321  11   132                           1 53  131555437722
22980143*** 911 1.1264    2166 311 4   1     311      35 1 23223521322353   111222     2322  11   142                           1 43  331555337160
22980243*** 911  .0971    11     2 2         321      24 1 3                   211     1 21       132                           1 21  331511337052
22980343*** 911 1.1974    11775344 4   2     212      34 1 13324521332453111322112     2421  22   221                           1 21  331311138305
22980443*** 911 1.3333    11883233 2   2     219      35 2 14324622432462233221111     2422  22   921                           1 53  131555238558
22980543*** 911 1.3413    21664233 4   1     413      55 2 23223521322352122221112     3322  21   332                           1 43  131555437641
22980643*** 911 2.6803    11445224 4   2     214      13 1 12212411221242111111112     1221  22   442                           1 11  231311137205
22980743*** 911 1.4353    21664243 4   1     112      54 1 23223521322352122322112     3321  21   232                           1 21  231311137129
22980843*** 911 1.3771    21224232 4   2     314      33 1 21111211111122122221212     2421  22   432                           1 53  131555337321
22980943*** 911 1.4011    11665333 4   2     322      15 1 33223521322353111221112     1222  22   242                           1 32  231344137064
22981043*** 911 2.6154    11225233 4   1     213      24 1 11111211111122111221112     1121  21   332                           1 32  231534337022
22981143*** 911  .2002    218852 1 4   1     121      99 1 44324622432462111   222     9 99   1   142                           1 53  331555437178
22981243*** 911 3.7544    11224333 2   2     223      24 2 31111211111123122221111     1221  22   342                           1 43  131555437821
22981343*** 911  .7093    11775253 4   1     111      12 1 13324521332452111322112     1111  21   142                           1 32  431332138138
22981443*** 911  .6473    21883312 2   2     321      35 1 44324622432463233111211     2422  12   142                           1 11  231311137214
22981543*** 911  .9543    118843 2 2   2     311      19 1 14324622432463122   211     1299   2   142                           1 32  131332137663
22981643*** 911  .6473    21885222 3   2     211      23 1 24324622432462111111212     1221  12   142                           1 32  231342237086
22981743*** 911  .2635    11444334 4   2     314      54 3 12212411221243122221112     3421  22   432                           1 32  231344137064
22981843*** 911 2.0583    11775243 3   1     311      24 1 13324521332452111322112     1121  21   142                           1 43  131355237660
22981943*** 911  .4325    218842 1 4   1     314      94 2 24324622432462122   222     9 21   1   432                           1 21  131311137343
22982043*** 911 2.2931    11884221 3   1     211      29 1 14324622432462122111222     1199  11   142                           1 21  331311237040
22982143*** 911  .7653    21884333 2   1     311      23 1 24324622432463122221111     1121  21   132                           1 32  131533437857
22982243*** 911  .5554    21885221 9   1     313      19 1 24324622432462111111229     1199  11   332                           1 32  131342237849
22982343*** 911  .7201    11884321 3   1     113      33 1 14324622432463122111222     2321  11   342                           1 43  131355237814
22982443*** 911  .0485    22665311 2   1     323      34 2 43223521322353111111221     2321  22   399                           1 11  431211438114
22982543*** 911  .9664    118852 2 4   1     113      13 1 14324622432462111   212     1121   1   342                           1 53  431555238237
22982643*** 911  .6814    21885234 4   1     211      15 1 24324622432462111221112     1122  21   142                           1 21  331311138305
22982743*** 911 1.2553    11664232 3   1     211      23 1 13223521322352122221212     1121  21   142                           1 32  231544237062
22982843*** 911  .3723    2188 2 1 9   1     424      12 3 44324622432462      229     1111   1   442                           1 53  431655438052
22982943*** 911  .7104    11885221 4   1     421      13 1 34324622432462111111222     1121  11   142                           1 43  331455338501
22983043*** 911 1.4174    11883332 3   1     311      29 1 14324622432463233221212     1199  21   142                           1 43  131355137312
22983143*** 911 3.0781    21112233 1   1     123      34 2 41111111111112234221111     2321  21   321                           1 11  231311137013
22983243*** 911  .4313    218812 4 3   1     311      43 1 24324622432462234   112     3321  21   111                           1 11  231311237115
22983343*** 911 1.0899    21664342 3   2     314      29 1 23223521322353122322212     1299  22   442                           1 32  231544137153
22983443*** 911  .9143    21444353 1   2     212      33 1 22212411221243122322111     2421  22   242                           1 32  431342138017
22983543*** 911  .7294    21775411 3   1     311      23 9 23324521332453111111222     1121  11   132                           1 53  331555338351
22983643*** 911  .5541    11885343 4   1     314      13 1 14324622432463111322112     1121  21   442                           1 32  131544337801
22983743*** 911  .8132    1311 312 3   2     913      34 3 11111111111113   111212     2421  22   342                           1 32  431332138138
22983843*** 911  .3503    21885211 4   1     311      25 1 24324622432462111111222     1122  11   142                           1 53  431555438008
22983943*** 911  .9673    21773243 3   2     321      44 1 43324521332452233322112     3421  22   132                           1 32  231342137027
22984043*** 911  .9374    21884221 4   1     213      23 2 24324622432462122111222     1121  11   342                           1 43  431555338024
22984143*** 911 1.4681    21882211 3   1     323      22 1 44324622432462234111222     1111  11   332                           1 53  331555438317
22984243*** 911  .0545    11884332 3   1     311      15 1 14324622432463122221212     1122  21   142                           1 53  331655438329
22984343*** 911  .5903    11884253 3   1     313      35 1 14324622432462122322112     2322  21   332                           1 11  431311138117
22984443*** 911 3.0664    11223423 1   2     311      35 1 11111211111123233111111     2422  22   142                           1 21  131311137919
22984543*** 911 1.0963    21884233 2   1     311      34 1 24324622432462122221111     2321  21   142                           1 32  131342137934
22984643*** 911  .8233    21774333 3   2     314      15 1 23324521332453122221112     1222  22   432                           1 53  331655438425
22984743*** 911  .0295    218852 3 4   1     929      39 1 44324622432462111   112     2399  21   942                           1 11  431311138117
22984843*** 911 2.2644    11774344 3   1     313      13 1 13324521332453122322112     1121  21   342                           1 53  131655337885
22984943*** 911 1.2004    21773432 4   1     314      99 1 23324521332453233221212     9 99  21   442                           1 43  331555437110
22985043*** 911  .8531    11775211 9         312      55 1 13324521332452111111229     3 22  1    232                           1 32  431533338019
22985143*** 911  .9143    21445243 4   1     211      24 1 22212411221242111322112     1121  21   142                           1 32  431542138002
22985243*** 911  .6543    21884332 4   1     411      35 1 24324622432463122221212     2322  21   142                           1 32  231534237087
22985343*** 911 1.3983    21553233 1   2     324      34 1 43223421322342233221111     2421  22   432                           1 32  231344137064
22985443*** 911 1.0863    1 665322 3   2     311      13 1 13223521322353111111212     1221   2   142                           1 11  231311137214
22985543*** 911  .4593    21773231 4         211      25 3 23324521332452233221222     1 22  2    132                           1 11  431311138134
22985643*** 911 1.0562    11334433 3   2     322      25 1 32212311221233122221112     1222  22   232                           1 53  131355337323
22985743*** 911  .8383    118833 3 1   2     224      55 3 34324622432463233   111     3422  22   432                           1 11  231311137013
22985843*** 911 1.1683    11884314 2   2     324      34 2 34324622432463122111111     2421  22   432                           1 21  131311137923
22985943*** 911 1.0654    118842 1 3   1     321      24 1 34324622432462122   222     1121   1   142                           1 32  431332138138
22986043*** 911 1.0963    21883324 1   2     214      39 1 24324622432463233111111     2499  22   442                           1 43  131555338555
22986143*** 911  .5972    11443211 4   1     124      32 3 32212411221242233111222     2311  11   421                           1 11  431311138125
22986243*** 911 1.4873    21774222 2   1     211      45 1 23324521332452122111211     3322  11   142                           1 43  131555337748
22986343*** 911 1.3073    21885211 4   1     314      35 1 24324622432462111111222     2322  11   442                           1 53  331555438372
22986443*** 911  .3812    11885242 2   1     312      35 1 14324622432462111322211     2322  21   242                           1 53  131555337321
22986543*** 911  .5244    21885 33 4   1     113      34 2 2432462243246 111221112     2321  21   332                           1 43  331555437357
22986643*** 911  .6201    21885311 3   1     311      14 2 24324622432463111111222     1121  11   142                           1 53  131555337874
22986743*** 911  .7683    11885443 3   1     311      24 1 14324622432463111322112     1121  21   142                           1 11  231311137138
22986843*** 911 1.4611    21555252 3   1     313      24 2 23223421322342111322212     1121  21   332                           1 32  131532337618
22986943*** 911  .7514    21775232 3   1     223      24 2 43324521332452111221212     1121  21   342                           1 32  231534237087
22987043*** 911  .7754    11884334 3   1     211      24 2 14324622432463122221112     1121  21   132                           1 53  331555337398
22987143*** 911  .7754    11884332 4   1     412      15 1 14324622432463122221212     1122  21   242                           1 43  331555238401
22987243*** 911 1.2594    11555331 3   1     913      15 1 13223421322343111221222     1122  21   342                           1 53  331655437345
22987343*** 911 1.9314    21554211 4   1     121      14 1 43223421322342122111222     1121  11   132                           1 53  131555337321
22987443*** 911 1.1861    114422 3 2   1     9 9      29 9  2212411221242234   111     1199  21   999                           1 32  231342137075
22987543*** 911 3.4743    11334232 3   2     214      43 2 12212311221232122221212     3421  22   421                           1 43  131355137312
22987643*** 911 1.4784    116654 1 2   2     211      13 1 13223521322353111   221     1221   2   132                           1 32  231544137135
22987743*** 911 1.7063    21665232 3   1     213      34 1 23223521322352111221212     2321  21   332                           1 21  331311138305
22987843*** 911  .3723    21884243 3   2     311      24 1 24324622432462122322112     1221  22   142                           1 32  431533338019
22987943*** 911 1.2064    218852 2 4   1     211      14 1 24324622432462111   212     1121   1   142                           1 32  131544237774
22988043*** 911 1.3043    21774221 2   1     214      33 1 23324521332452122111221     2321  11   432                           1 43  131555437641
22988143*** 911  .6263    21883322 2   1     212      34 2 24324622432463233111211     2321  11   232                           1 32  231344137064
22988243*** 911  .9292    11335333 3   1     313      55 2 12212311221233111221112     3322  21   332                           1 53  331555438375
22988343*** 911  .7281    21882142 3   1     319      43 2 24324622432461234322212     3321  21   921                           1 32  431543338023
22988443*** 911  .6254    218852 3 4   1     113      35 1 24324622432462111   112     2322  21   332                           1 32  231334237066
22988543*** 911 1.2411    11665321 4   2     321      15 1 33223521322353111111222     1222  12   142                           1 32  231534237087
22988643*** 911  .8934    21884334 3   1     213      33 1 24324622432463122221112     2321  21   332                           1 32  131332137663
22988743*** 911 1.8821    11883342 4   1     314      14 1 14324622432463233322212     1121  21   432                           1 43  331555338464
22988843*** 911 1.0992    11664234 2   2     219      45 1 13223521322352122221111     3422  22   932                           1 11  231311137215
22988943*** 911 1.2691    11774233 2   2     314      14 1 13324521332452122221111     1221  22   442                           1 21  131311137343
22989043*** 911 1.0231    21664323 3   1     211      15 1 23223521322353122111112     1122  21   142                           1 32  131342137341
22989143*** 911 1.0373    21664254 2   1     311      34 1 23223521322352122322111     2321  21   132                           1 53  331555438372
22989243*** 911 1.6754    22665243 3   1     313      24 1 23223521322352111322112     1121  22   342                           1 32  131322337643
22989343*** 911  .8564    118822 1 2   1     111      33 1 14324622432462234   221     2321   1   132                           1 53  431555338382
22989443*** 911 1.5814    21775223 4   1     312      23 1 23324521332452111111112     1121  21   232                           1 32  131342137934
22989543*** 911  .7512    21774242 3   2     213      34 2 23324521332452122322212     2421  22   332                           1 32  231542337015
22989643*** 911 1.1114    117752 3 3   1     414      15 3 13324521332452111   112     1122  21   432                           1 21  131311237920
22989743*** 911 1.4483    21664444 3   1     314      23 2 23223521322353122322112     1121  21   432                           1 21  331311138305
22989843*** 911 1.2474    21883311 2   1     311      44 1 24324622432463233111221     3321  11   121                           1 43  131555337743
22989943*** 911  .7653    21882121 1   1     313      45 2 24324622432461234111221     3322  11   321                           1 32  131332337642
22990043*** 911  .4314    11885412 4   1     122      14 1 34324622432463111111212     1121  11   242                           1 53  331655437097
22990143*** 911  .4975    21885111 4   1     324      55 3 44324622432461111111222     3322  11   432                           1 53  131555437322
22990243*** 911  .5564    21885331 4   1     113      34 1 24324622432463111221222     2321  21   332                           1 53  331555438583
22990343*** 911 1.0803    21664233 2   1     113      45 2 23223521322352122221111     3322  21   332                           1 32  231544137014
22990443*** 911 1.7161    21554231 4   1     311      25 1 23223421322342122221222     1122  21   132                           1 32  431543338023
