31031921 64 312 1.4833    21 24343    42   23111      13 112       11112312232211  22  1221  22  1132                           1 32  211342121043
31012421 12 312 1.1403    21 63243    22   33311      34 112       32235223332211  11  2421  22  1132                           1 32  211323121057
30964521 55 312  .8093    21 64242    22   23911      12 112       32235212232221  11  1211  22  1112                           1 32  411334121770
31006721107 312 1.3663    21 63342    22   31311      32 212       32235323332221  11  2411  22  1132                           1 43  411455320667
31004321 89 312 1.0673    21 55353    32   33311      14 112       32234311132211  12  1221  22  1132                           1 32  311333220707
31001221104 312  .6863    21 64254    32   31311      24 112       32235212232211  12  1221  22  1132                           1 32  411533321617
31000421104 312  .6863    21 64244    11   32311      14 112       32235212232211  11  1121  21  1132                           1 32  411533321617
31000021109 312  .7983    21 64252    31   33211      15 112       32235212232221  12  1122  21  1132                           1 53  411555321676
30999621104 312  .6863    21 33232    42   22211      34 212       22123223322121  22  2421  22  1112                           1 32  411533321617
30998621104 312  .6863    21 64242    21   23211      23 112       32235212232221  11  1121  21  1132                           1 32  411533321617
30997521 89 312 1.0673    21 64232    42   23321      22 114       32235212222121  22  1211  22  1122                           1 32  311333220707
30996821 35 312  .3913    21 43242    11   33911      91 112       22124223332221  11  9 11  21  1132                           1 11  111211421229
30993521 56 312  .7983    21 63231    21   31421      35 114       32235223322122  11  2322  21  1132                           1 32  411344121774
30989521 51 312  .9803    21 74231    41   39211      14 112       33245212222122  22  1121  21  1132                           1 32  411523321780
30988521 25 312  .8583    21 85243    22   32311      34 112       43246211132211  11  2421  22  1122                           1 21  211311121204
30987821 42 312  .7983    21 64234    32   21211      14 112       32235212222111  12  1221  22  1132                           1 32  411334321157
30986421 25 312  .8583    21 85242    12   33311      14 112       43246211132221  11  1221  22  1122                           1 21  211311121204
30985821 25 312  .8973    21 63244    31   31221      14 114       32235223332211  12  1121  21  1132                           1 21  211311121204
30985621  8 312 1.2483    21 64253    21   33211      13 112       32235212232211  11  1121  21  1112                           1 32  211333121401
30984121112 312  .8303    21 33213    41   12211      11 112       22123223311111  22  1111  21  1132                           1 43  411355421740
30983421 42 312  .6713    21 14222    11   39321      32 114       11111212211121  11  2311  11  1122                           1 32  411334321157
30983321112 312 1.3293    22 13212    42   31321      35 114       11111223311121  22  2422  22  1132                           1 43  411355421740
30981421112 312  .8303    21 44244    21   23311      21 112       22124212232211  11  1111  21  1132                           1 43  411355421740
30981221 65 312  .9353    21 743 2    2    32311      24 112       332453122   21  11  1 21      1132                           1 32  211344121042
30981121 65 312  .9353    21 743 2    2    32311      24 112       332453122   21  11  1 21      1132                           1 32  211344121042
30980921 42 312 1.5193    23 63454    42   23211      12 112       32235323332211  22  1211  22  1132                           1 32  411334321157
30977921 97 312 1.4143    21 64243    32   31211      24 112       32235212232211  12  1221  22  1132                           1 32  311323120715
30976721 88 312 1.5283    21 64244    32   31221      15 114       32235212232211  12  1222  22  1122                           1 32  311333220707
30976621 88 312 1.5283    21 64244    32   31221      15 114       32235212232211  12  1222  22  1122                           1 32  311333220707
30976521 65 312  .9773    21 64254    31   33211      24 112       32235212232211  12  1121  21  1122                           1 32  211344121042
30976321 26 312  .7603    21 34234    42   31321      44 114       22123212222111  22  3421  22  1122                           1 32  211222321234
30974221 48 312 1.7823    21 85242    21   23911      11 112       43246211132221  11  1111  21  1132                           1 32  411344220603
30967921 26 312  .7603    21 633 3    42   33311      14 112       322353233   11  22  1221  22  1122                           1 32  211222321234
30963821 55 312  .7743    21 84231    22   33111      23 112       43246212222122  11  1221  22  1122                           1 32  411334121770
30764821104 112  .6863    21 33232    12   12121      25 214       22123223322121  11  1222  22  1122                           1 32  411533321617
30768021104 112  .6863    21 54244    22   31311      25 112       32234212232211  11  1222  22  1132                           1 32  411533321617
30764321 12 112 1.1403    21 63243    21   31211      24 212       32235223332211  11  1121  21  1112                           1 32  211323121057
30767221104 112  .6863    21 35243    21   33311      24 112       22123211132211  11  1121  21  1132                           1 32  411533321617
30766621 64 112 1.7653    21 642 3    42   32311      24 112       322352122   11  22  1221  22  1132                           1 32  211342121043
30769221 89 112 1.0213    21 83242    11   21321      25 114       43246223332221  11  1122  21  1122                           1 32  311333220707
30759921 12 112  .9583    21 23224    22   39321      32 114       11112223311111  11  2411  22  1132                           1 32  211323121057
30757921109 112  .7983    21 65322    41   23311      12 112       32235311111121  22  1111  11  1132                           1 53  411555321676
30757821 12 112 1.0913    21 853 4    41   21211      14 112       432463111   11  22  1121  21  1132                           1 32  211323121057
